time,open,high,low,close
2026-07-14 14:15:00+00:00,1868.69,1869.14,1859.46,1865.55
2026-07-14 14:30:00+00:00,1865.55,1874.05,1863.64,1870.91
2026-07-14 14:45:00+00:00,1870.91,1884.56,1869.58,1881.16
2026-07-14 15:00:00+00:00,1881.17,1882.37,1875.5,1878.81
2026-07-14 15:15:00+00:00,1878.8,1884.56,1876.04,1883.24
2026-07-14 15:30:00+00:00,1883.25,1888.8,1876.83,1880.49
2026-07-14 15:45:00+00:00,1880.5,1882.63,1872.85,1875.22
2026-07-14 16:00:00+00:00,1875.22,1877.0,1868.76,1872.32
2026-07-14 16:15:00+00:00,1872.31,1877.07,1870.38,1874.91
2026-07-14 16:30:00+00:00,1874.9,1876.82,1873.31,1873.31
2026-07-14 16:45:00+00:00,1873.32,1876.23,1872.53,1873.79
2026-07-14 17:00:00+00:00,1873.8,1873.8,1860.56,1867.71
2026-07-14 17:15:00+00:00,1867.7,1870.58,1863.87,1869.58
2026-07-14 17:30:00+00:00,1869.59,1870.31,1865.52,1868.83
2026-07-14 17:45:00+00:00,1868.83,1873.14,1866.71,1871.54
2026-07-14 18:00:00+00:00,1871.55,1872.5,1869.37,1869.86
2026-07-14 18:15:00+00:00,1869.86,1871.47,1868.18,1870.4
2026-07-14 18:30:00+00:00,1870.4,1875.62,1868.67,1873.12
2026-07-14 18:45:00+00:00,1873.13,1876.83,1873.08,1874.79
2026-07-14 19:00:00+00:00,1874.79,1878.33,1874.43,1877.24
2026-07-14 19:15:00+00:00,1877.25,1881.56,1874.5,1876.64
2026-07-14 19:30:00+00:00,1876.63,1880.0,1874.6,1879.54
2026-07-14 19:45:00+00:00,1879.55,1880.95,1875.84,1876.74
2026-07-14 20:00:00+00:00,1876.74,1878.55,1874.81,1874.82
2026-07-14 20:15:00+00:00,1874.82,1876.98,1874.53,1875.8
2026-07-14 20:30:00+00:00,1875.81,1877.27,1873.63,1875.06
2026-07-14 20:45:00+00:00,1875.08,1876.8,1874.31,1875.42
2026-07-14 21:00:00+00:00,1875.41,1878.67,1874.4,1878.15
2026-07-14 21:15:00+00:00,1878.14,1879.57,1876.46,1878.29
2026-07-14 21:30:00+00:00,1878.3,1879.74,1876.07,1877.32
2026-07-14 21:45:00+00:00,1877.33,1878.6,1875.14,1876.46
2026-07-14 22:00:00+00:00,1876.46,1876.97,1872.06,1872.75
2026-07-14 22:15:00+00:00,1872.75,1885.7,1872.42,1881.61
2026-07-14 22:30:00+00:00,1881.62,1896.14,1881.3,1887.14
2026-07-14 22:45:00+00:00,1887.14,1888.97,1882.04,1882.04
2026-07-14 23:00:00+00:00,1882.04,1888.18,1878.69,1886.56
2026-07-14 23:15:00+00:00,1886.56,1886.56,1884.2,1885.81
2026-07-14 23:30:00+00:00,1885.81,1889.66,1884.73,1888.88
2026-07-14 23:45:00+00:00,1888.88,1893.32,1888.88,1891.87
2026-07-15 00:00:00+00:00,1891.87,1893.32,1887.08,1887.44
2026-07-15 00:15:00+00:00,1887.43,1888.11,1878.88,1880.86
2026-07-15 00:30:00+00:00,1880.86,1880.87,1878.13,1879.41
2026-07-15 00:45:00+00:00,1879.41,1883.04,1879.41,1881.58
2026-07-15 01:00:00+00:00,1881.58,1881.98,1874.4,1875.95
2026-07-15 01:15:00+00:00,1875.95,1879.57,1874.2,1879.17
2026-07-15 01:30:00+00:00,1879.17,1879.17,1867.91,1869.95
2026-07-15 01:45:00+00:00,1869.94,1870.52,1867.23,1870.2
2026-07-15 02:00:00+00:00,1870.19,1873.04,1867.34,1871.19
2026-07-15 02:15:00+00:00,1871.2,1871.28,1864.83,1864.84
2026-07-15 02:30:00+00:00,1864.84,1867.59,1864.83,1867.02
2026-07-15 02:45:00+00:00,1867.02,1867.58,1864.38,1864.6
2026-07-15 03:00:00+00:00,1864.6,1871.19,1864.46,1870.61
2026-07-15 03:15:00+00:00,1870.61,1870.66,1868.06,1868.79
2026-07-15 03:30:00+00:00,1868.79,1874.71,1868.78,1872.77
2026-07-15 03:45:00+00:00,1872.77,1878.96,1871.84,1876.08
2026-07-15 04:00:00+00:00,1876.08,1879.77,1875.53,1876.79
2026-07-15 04:15:00+00:00,1876.8,1878.38,1875.43,1875.43
2026-07-15 04:30:00+00:00,1875.44,1878.77,1873.31,1877.82
2026-07-15 04:45:00+00:00,1877.82,1880.59,1875.23,1876.49
2026-07-15 05:00:00+00:00,1876.5,1878.56,1871.84,1872.54
