time,open,high,low,close
2026-05-21 00:45:00+00:00,77735.0,78071.42,77734.99,77967.09
2026-05-21 01:00:00+00:00,77967.09,78132.01,77929.02,78129.27
2026-05-21 01:15:00+00:00,78129.26,78173.15,77818.96,77877.0
2026-05-21 01:30:00+00:00,77877.0,77974.98,77820.0,77894.86
2026-05-21 01:45:00+00:00,77894.86,77970.75,77800.0,77863.85
2026-05-21 02:00:00+00:00,77863.85,77913.77,77820.1,77874.0
2026-05-21 02:15:00+00:00,77874.0,78100.0,77868.0,78037.41
2026-05-21 02:30:00+00:00,78037.4,78073.4,77990.0,78031.86
2026-05-21 02:45:00+00:00,78031.86,78031.86,77948.75,77955.78
2026-05-21 03:00:00+00:00,77955.78,78019.5,77928.5,77959.68
2026-05-21 03:15:00+00:00,77959.68,78042.01,77908.0,78034.9
2026-05-21 03:30:00+00:00,78034.9,78034.9,77996.09,78019.05
2026-05-21 03:45:00+00:00,78019.05,78098.85,78000.0,78078.72
2026-05-21 04:00:00+00:00,78078.72,78180.01,77968.6,77977.76
2026-05-21 04:15:00+00:00,77977.77,78030.01,77965.36,78026.32
2026-05-21 04:30:00+00:00,78026.33,78035.77,77969.07,77982.13
2026-05-21 04:45:00+00:00,77982.14,78052.21,77982.13,78035.8
2026-05-21 05:00:00+00:00,78035.8,78147.07,77891.31,77912.54
2026-05-21 05:15:00+00:00,77912.55,77947.77,77866.66,77869.36
2026-05-21 05:30:00+00:00,77869.35,77914.34,77842.42,77860.02
2026-05-21 05:45:00+00:00,77860.01,77860.02,77714.94,77828.0
2026-05-21 06:00:00+00:00,77828.0,77873.15,77730.16,77769.96
2026-05-21 06:15:00+00:00,77769.96,77855.44,77715.0,77777.0
2026-05-21 06:30:00+00:00,77777.01,77817.0,77648.32,77675.6
2026-05-21 06:45:00+00:00,77675.6,77675.6,77533.45,77622.14
2026-05-21 07:00:00+00:00,77622.14,77698.52,77564.64,77607.14
2026-05-21 07:15:00+00:00,77607.15,77611.97,77521.0,77611.97
2026-05-21 07:30:00+00:00,77611.97,77720.25,77611.96,77720.25
2026-05-21 07:45:00+00:00,77720.24,77901.06,77720.24,77889.01
2026-05-21 08:00:00+00:00,77889.01,78200.0,77889.01,78137.12
2026-05-21 08:15:00+00:00,78137.11,78174.73,77935.97,78055.35
2026-05-21 08:30:00+00:00,78055.35,78055.36,77890.69,77926.99
2026-05-21 08:45:00+00:00,77927.0,77955.25,77885.53,77924.63
2026-05-21 09:00:00+00:00,77924.63,77977.53,77883.0,77935.68
2026-05-21 09:15:00+00:00,77935.67,77953.31,77917.14,77928.4
2026-05-21 09:30:00+00:00,77928.39,77940.27,77675.29,77690.41
2026-05-21 09:45:00+00:00,77690.41,77710.0,77633.02,77633.02
2026-05-21 10:00:00+00:00,77633.03,77675.68,77621.02,77632.07
2026-05-21 10:15:00+00:00,77632.08,77678.01,77190.09,77383.3
2026-05-21 10:30:00+00:00,77383.3,77445.31,77210.0,77363.33
2026-05-21 10:45:00+00:00,77363.33,77371.99,77192.37,77198.08
2026-05-21 11:00:00+00:00,77198.09,77345.7,77147.15,77310.69
2026-05-21 11:15:00+00:00,77310.69,77370.62,77278.0,77323.1
2026-05-21 11:30:00+00:00,77323.1,77372.0,77216.85,77256.82
2026-05-21 11:45:00+00:00,77256.82,77260.01,77182.0,77189.1
2026-05-21 12:00:00+00:00,77189.1,77278.37,77168.17,77194.0
2026-05-21 12:15:00+00:00,77194.0,77220.45,77097.16,77115.08
2026-05-21 12:30:00+00:00,77115.09,77323.13,77080.72,77243.74
